measure,rsq_gpa
hv3tvceil_m,0.08292369799849575
f4a5a2,0.03863422230869473
f4c1a,0.03630899291224676
m5f20,0.0349184373279835
m5b28a,0.033792833204045025
p5h14b_2,0.03373037690654568
f5a5d01,0.031887546363156716
k5g2d,0.031368280947581595
m3j3,0.02697440042926391
cm5age,0.024899226146506193
m5d19b,0.021056685567365174
f4b4a5,0.01825769481348294
f5j6b1,0.015081921307011692
kind_f5g,0.014756170092125265
f5a3a1_2,0.01355619640824468
m4i23l,0.013429570840635674
hv4t5,0.01259694424906721
m4a10b3,0.01161697846347931
m3a13,0.011183091569584525
f3c9,0.010520339284592506
ffcc_famsurvey_b25_a,0.01000088845268765
f3h2,0.009863835151777578
m4e2g,0.009013940287749711
m2h1a,0.008964310073740434
m5g30,0.008757664194974812
m4f2d5,0.008705231872488395
cf2gad_case,0.008699699583850085
c4citywt_rep5,0.008667552706738912
hv3m18a,0.008364405618513926
ffcc_famsurvey_a17a_3,0.00821668504919626
m4c3h,0.007775841712013509
f3k24f_2,0.007534471733941617
ffcc_famobs_la_10,0.006921223977969904
m5a6c01,0.0065014610162773545
t5c7c,0.006390638690191852
f2a8a,0.006055053881167227
f3e9,0.006007083071397301
ffcc_famsurvey_a4_b,0.005417582645170005
f3b8a_13,0.0053594873206864735
f1d3d,0.005259740823517101
m2j14a,0.004859884183023078
f3i18a,0.0046553332252393664
m3k16b,0.004375569816803648
f4c28,0.00430168907883044
f5b11a_91,0.0042733293687031715
f2g16,0.004152574060831804
n5a11_13,0.003958461538784097
f1h2b,0.003721370435960436
t5f4a,0.003715115039588879
n5d3c2_7,0.003542211878224899
hv4h1,0.003429072121132637
t5a9d,0.0031893022195541576
m2d3b4,0.0030878376732672574
f2c11,0.0030275968395417907
f5i3a_10,0.0027807710342390157
o5f7,0.0027036945508044363
ffcc_centsurvey_c9_1,0.0023617651760134972
m3d3a_6,0.002361296344341457
f3j9,0.002301569419393079
hv4d1b,0.0020103417885379837
m3c20d,0.0018228564632468691
m2c12,0.001813039448431475
m4k14a5,0.0017801589351608138
p5q3ag,0.0017387281048591996
m4b4b15,0.0016932661889291767
f2b21b,0.0016027802927971457
m1d3d,0.0014362667869080026
jobTraining,0.0014249677665507665
m2k15a,0.0012474057585689646
hv4a21c2_7,0.0010822510822511289
f5b10x,0.0010255702973546166
m2a12,0.000877184196558467
f5i24aos_code,0.0008389794792259542
m3f3b9,0.0008178607722686415
f4j1,0.0006804391823850287
f4f2f3,0.0006463777847457441
m5e8_7,0.0005922637625498384
m2f2b10,0.0005860039663103667
f2k22e1,0.0005681920723841216
m4i0d,0.00041117534073997763
p5i2e,0.0004011905706098329
m5a3a1_104,0.00039437852963952746
m3e20d,0.0003258118344023897
f2e3i,0.0003197797141365477
m3b16p7,0.0002798047390604186
hv4l30,0.00024845015521934855
f1b10b3,0.0001972571734034645
hv3s1_7,0.0001293117449693293
m2b30b,0.0001142384371712879
p5j4c,9.068687248803275e-05
f4i7b,8.459303804286833e-05
m5a3i_8,4.121924931355103e-05
ffcc_famsurvey_f8b_d,2.847329457844605e-05
f5f11a,2.829165807227696e-05
m1i2d1,2.4252535680724385e-05
hv3h1b,2.2319171624429757e-05
m1b10b1,4.348454322178341e-07
m5j9e,1.8580163618775458e-07
hv4mmis_ht,0.0
f3a4d,0.0
m4j22j,-2.220446049250313e-16
ffcc_centsurvey_a28_6,-2.220446049250313e-16
m1intmon,-2.220446049250313e-16
p5q11,-2.220446049250313e-16
hv3a16a2_yr,-2.220446049250313e-16
ffcc_centsurvey_g1_a,-2.220446049250313e-16
ffcc_centsurvey_a3_a,-2.220446049250313e-16
f2h21d6,-2.220446049250313e-16
f5g21e,-2.220446049250313e-16
m4c37a_7,-2.220446049250313e-16
f5c6j,-2.220446049250313e-16
m3j47a,-2.220446049250313e-16
f3c42a_6,-2.220446049250313e-16
f4k25f_2,-2.220446049250313e-16
f4j33a,-2.220446049250313e-16
f4d10a,-2.220446049250313e-16
f3j61b,-2.220446049250313e-16
m3i11b,-2.220446049250313e-16
